Student,Math,Science,English,History,Art
Student 1,85,78,90,72,88
Student 2,92,88,76,80,85
Student 3,75,65,70,68,78
Student 4,88,82,84,75,92
Student 5,95,89,92,88,90
Student 6,67,55,60,62,70
Student 7,82,79,85,78,87
Student 8,74,69,73,65,77
Student 9,91,85,88,83,86
Student 10,63,57,65,60,68
Student 11,86,80,89,84,91
Student 12,78,72,81,74,83
Student 13,55,50,58,52,60
Student 14,89,85,87,81,88
Student 15,93,88,91,85,90
Student 16,71,65,68,62,75
Student 17,88,84,86,82,89
Student 18,60,55,65,58,66
Student 19,80,76,82,77,84
Student 20,94,90,93,88,92
